ALS|GLON(deg)|GLAT(deg)
 8013|  158.45|   -0.50
 8016|  167.73|   -8.68
 8014|  162.07|   -3.71
 8017|  156.23|    1.65
 8018|  158.80|   -0.58
16414|  185.31|  -22.05
 8019|  160.69|   -2.23
18662|  155.36|    2.61
18660|  155.36|    2.61
18661|  155.36|    2.61
 8022|  157.57|    0.72
 8023|  159.85|   -1.27
 8024|  160.96|   -2.25
 8020|  150.62|    6.83
 8021|  149.80|    7.60
 8026|  160.29|   -1.48
 8025|  149.16|    8.29
 8028|  164.68|   -5.08
 8027|  158.48|    0.37
 8030|  159.26|   -0.27
16760|  282.97|  -35.83
 8033|  162.97|   -3.44
 8032|  158.49|    0.47
16552|  156.02|    2.62
 8029|  152.61|    5.56
 8031|  152.92|    5.31
 8034|  164.09|   -4.26
 8039|  166.67|   -6.42
 8038|  163.67|   -3.86
 8037|  161.80|   -2.24
15880|  205.72|  -32.12
 8035|  159.68|   -0.39
17283|  163.06|   -3.28
 8041|  173.23|  -11.74
 8036|  153.01|    5.44
 8040|  155.73|    3.15
 8042|  162.62|   -2.74
 8043|  162.29|   -2.43
 8044|  162.30|   -2.34
16513|  200.53|  -29.34
 8045|  165.56|   -5.06
16553|  176.62|  -14.03
 8046|  161.28|   -1.36
 8047|  158.35|    1.22
 8048|  160.70|   -0.74
 8049|  159.30|    0.67
 8050|  163.19|   -2.59
 8051|  162.29|   -1.82
 8053|  162.30|   -1.81
 8052|  159.88|    0.26
 8054|  160.33|    0.00
 8056|  163.86|   -2.79
 8055|  161.57|   -0.85
 8058|  160.43|    0.12
 8057|  160.43|    0.13
 8059|  164.32|   -3.04
 8060|  163.20|   -2.02
 8061|  162.75|   -1.61
14740|  190.18|  -22.22
 8062|  163.11|   -1.85
 8063|  164.69|   -3.02
14769|  192.89|  -23.52
 8065|  158.40|    2.36
 8064|  156.49|    3.94
 8068|  168.92|   -6.27
 8066|  160.13|    0.96
 8067|  162.79|   -1.20
 8070|  164.88|   -2.90
 8071|  163.88|   -2.06
 8069|  157.84|    2.96
 8075|  164.16|   -2.23
 8073|  158.52|    2.43
 8072|  155.39|    5.01
 8076|  158.46|    2.52
 8074|  154.10|    6.09
 8078|  163.25|   -1.37
 8077|  153.77|    6.42
 8079|  161.33|    0.30
 8080|  158.95|    2.32
 8081|  164.69|   -2.35
 8082|  169.80|   -6.38
14768|  144.07|   14.04
14770|  196.27|  -24.56
 8083|  157.05|    4.08
 8084|  168.72|   -5.28
 8085|  160.31|    1.60
 8089|  168.46|   -4.96
15895|  278.14|  -36.02
 8090|  170.11|   -6.24
 8087|  163.75|   -1.15
 8086|  159.74|    2.12
 8088|  161.21|    0.94
 8091|  165.05|   -2.13
 8092|  162.22|    0.19
 8093|  161.76|    0.58
17413|  185.24|  -17.28
18664|  159.36|    2.58
 8094|  159.36|    2.59
 8096|  168.14|   -4.40
 8097|  165.03|   -1.88
 8095|  160.16|    2.04
 8098|  170.75|   -6.38
 8101|  174.90|   -9.54
 8099|  165.36|   -2.02
 8100|  161.77|    0.89
 8102|  162.70|    0.20
 8105|  164.53|   -1.20
14771|  213.50|  -31.51
 8104|  159.33|    2.99
 8106|  165.71|   -2.07
 8103|  154.58|    6.72
18663|  159.15|    3.26
19709|  159.14|    3.26
19708|  159.15|    3.26
 8108|  172.76|   -7.42
 8107|  159.15|    3.31
 8111|  171.81|   -6.63
 8109|  164.32|   -0.74
17963|  186.11|  -16.95
17962|  186.12|  -16.94
 8110|  163.46|   -0.03
 8114|  165.26|   -1.41
 8112|  161.68|    1.42
 8115|  162.89|    0.50
 8113|  158.49|    3.96
 8116|  162.63|    0.81
 8117|  163.06|    0.49
 8118|  163.19|    0.41
 8119|  162.88|    0.71
 8120|  164.44|   -0.48
 8122|  165.72|   -1.43
 8121|  162.87|    0.82
 8123|  163.76|    0.15
 8124|  166.95|   -2.28
 8125|  165.20|   -0.89
 8129|  176.47|   -9.46
17650|  206.59|  -27.69
19545|  158.78|    4.18
 8126|  163.05|    0.88
 8128|  165.70|   -1.17
 8127|  161.80|    1.87
 8130|  167.79|   -2.75
 8132|  167.11|   -2.21
 8131|  162.79|    1.18
 8133|  161.70|    2.05
 8136|  171.73|   -5.66
 8134|  162.78|    1.24
 8139|  178.65|  -10.78
17638|  162.48|    1.51
 8135|  165.49|   -0.81
 8137|  164.06|    0.35
 8138|  163.91|    0.47
 8140|  163.97|    0.45
 8142|  163.89|    0.55
 8141|  161.82|    2.15
 8147|  169.02|   -3.36
 8148|  168.80|   -3.18
 8145|  165.51|   -0.65
15896|  277.65|  -35.32
 8144|  161.56|    2.41
 8146|  164.33|    0.28
 8149|  164.82|   -0.08
 8143|  156.84|    6.02
 8150|  165.72|   -0.76
 8151|  165.92|   -0.89
14648|  214.33|  -30.21
 8152|  165.65|   -0.57
18141|  162.63|    1.76
 8153|  164.81|    0.17
 8154|  163.78|    0.98
 8155|  164.27|    0.63
 8156|  162.19|    2.26
16698|  202.96|  -25.00
 8158|  165.15|    0.09
 8159|  166.98|   -1.23
 8160|  166.50|   -0.86
17604|  162.18|    2.42
 8157|  155.95|    7.10
 8161|  166.29|   -0.65
 8162|  166.15|   -0.52
 8163|  169.82|   -3.30
 8166|  177.18|   -8.70
 8164|  166.35|   -0.59
 8165|  162.85|    2.12
 8170|  171.96|   -4.74
 8167|  164.91|    0.57
 8168|  165.35|    0.27
 8171|  167.53|   -1.35
 8173|  170.11|   -3.29
 8172|  165.98|   -0.15
 8169|  159.57|    4.68
 8175|  181.66|  -11.62
 8174|  166.08|   -0.10
 8176|  169.88|   -2.94
19970|  158.17|    5.83
 8178|  169.30|   -2.40
 8177|  159.75|    4.76
 8180|  168.69|   -1.90
 8182|  181.34|  -11.09
 8181|  168.68|   -1.86
 8184|  179.25|   -9.56
 8179|  160.61|    4.19
 8183|  167.32|   -0.76
 8187|  176.03|   -7.13
 8188|  175.35|   -6.59
 8185|  165.21|    0.92
 8186|  167.02|   -0.41
16156|  209.14|  -26.69
 8189|  164.01|    1.89
 8191|  164.97|    1.21
 8190|  163.11|    2.59
 8192|  165.73|    0.66
 8193|  166.15|    0.38
 8194|  164.15|    1.89
 8205|  182.51|  -11.41
 8198|  167.04|   -0.23
 8195|  160.16|    4.87
 8199|  164.71|    1.53
 8197|  161.90|    3.61
 8202|  169.14|   -1.73
 8201|  165.73|    0.79
 8196|  158.06|    6.43
 8203|  165.94|    0.68
 8206|  166.24|    0.50
 8207|  168.95|   -1.49
 8208|  171.97|   -3.70
 8200|  155.00|    8.68
 8204|  157.87|    6.67
 8209|  165.85|    0.87
 8212|  166.02|    0.78
 8210|  160.91|    4.56
 8213|  165.91|    0.91
 8215|  169.04|   -1.36
 8214|  166.14|    0.78
 8211|  157.88|    6.79
 8222|  181.46|  -10.21
 8223|  181.79|  -10.43
 8216|  167.58|   -0.25
 8217|  165.91|    1.01
 8220|  168.16|   -0.62
 8219|  163.05|    3.15
 8221|  165.18|    1.61
 8218|  159.20|    5.96
 8224|  169.76|   -1.72
 8226|  165.44|    1.50
 8225|  165.03|    1.80
 8229|  167.35|    0.14
 8228|  166.01|    1.13
19570|  166.91|    0.47
 8227|  160.30|    5.30
 8232|  174.03|   -4.62
 8231|  167.11|    0.41
 8230|  163.45|    3.08
16195|  217.25|  -28.91
 8233|  163.15|    3.36
 8234|  163.47|    3.19
 8235|  166.95|    0.68
16725|  213.88|  -27.55
 8236|  166.38|    1.09
 8237|  166.80|    0.79
19598|  280.23|  -33.84
17229|  267.24|  -35.57
19711|  169.19|   -0.90
19710|  169.20|   -0.90
 8238|  167.07|    0.71
 8252|  161.50|    4.73
 8239|  167.21|    0.65
 8240|  164.80|    2.41
19756|  244.52|  -35.03
 8242|  167.22|    0.74
 8243|  166.35|    1.39
14772|  209.24|  -25.25
 8244|  168.69|   -0.27
 8241|  156.46|    8.45
 8246|  169.99|   -1.08
19546|  196.89|  -18.84
 8245|  166.81|    1.21
 8248|  170.79|   -1.62
 8249|  173.25|   -3.36
 8247|  163.63|    3.56
 8250|  165.98|    1.91
 8251|  163.45|    3.80
 8254|  174.02|   -3.66
 8255|  172.08|   -2.26
 8253|  162.22|    4.77
14649|  218.64|  -28.40
 8258|  172.67|   -2.47
 8259|  176.63|   -5.21
 8257|  165.78|    2.45
 8256|  161.63|    5.38
 8260|  172.06|   -1.94
16196|  208.28|  -23.96
 8261|  168.21|    0.91
 8263|  170.43|   -0.58
 8262|  166.09|    2.48
 8265|  169.42|    0.18
 8264|  165.54|    2.90
 8266|  164.65|    3.66
 8267|  172.73|   -2.00
19905|  171.96|   -1.43
16862|  220.34|  -28.36
17336|  220.33|  -28.36
16514|  152.71|   11.75
 8268|  169.32|    0.48
14773|  214.83|  -26.24
16181|  203.32|  -21.00
 8271|  175.94|   -4.07
 8270|  172.90|   -1.94
17284|  214.00|  -25.79
 8272|  168.75|    1.00
 8273|  172.81|   -1.83
 8269|  164.05|    4.29
 8274|  170.61|   -0.25
16416|  207.19|  -22.66
 8275|  170.68|   -0.22
 8276|  170.04|    0.27
 8278|  172.01|   -1.04
16415|  177.88|   -5.08
 8277|  168.11|    1.68
 8279|  168.53|    1.40
 8280|  168.04|    1.78
14859|  238.07|  -32.61
 8281|  173.44|   -1.93
17230|  216.43|  -26.39
 8283|  170.80|   -0.02
 8286|  194.62|  -15.61
16699|  202.63|  -20.03
 8282|  166.83|    2.75
 8285|  168.49|    1.68
 8290|  183.89|   -8.78
15226|  163.89|    4.84
 8284|  161.85|    6.24
 8287|  173.22|   -1.54
 8288|  173.21|   -1.52
 8291|  173.47|   -1.66
18142|  167.83|    2.23
 8289|  170.05|    0.71
 8293|  171.85|   -0.52
15327|  173.59|   -1.71
 8294|  173.61|   -1.72
 8295|  173.65|   -1.74
15328|  173.58|   -1.68
 8297|  173.56|   -1.66
 8298|  173.56|   -1.66
15329|  173.59|   -1.68
 8292|  167.37|    2.60
 8299|  173.58|   -1.67
 8300|  173.57|   -1.64
14774|  199.16|  -17.86
17938|  199.15|  -17.86
 8301|  173.62|   -1.67
 8302|  173.62|   -1.66
19588|  173.59|   -1.62
 8296|  166.16|    3.47
15330|  173.55|   -1.59
 8303|  173.53|   -1.56
15331|  173.58|   -1.58
 8311|  182.72|   -7.74
15332|  173.56|   -1.56
 8304|  171.74|   -0.31
 8305|  173.72|   -1.65
 8306|  173.52|   -1.51
15333|  173.50|   -1.48
16418|  210.50|  -23.39
 8307|  173.62|   -1.56
 8308|  173.55|   -1.51
 8309|  172.55|   -0.81
 8310|  173.53|   -1.48
 8312|  173.65|   -1.55
 8313|  174.18|   -1.91
18164|  173.55|   -1.46
17285|  216.02|  -25.67
19730|  269.97|  -34.08
 8314|  173.55|   -1.44
18165|  173.56|   -1.42
15973|  202.68|  -19.49
 8316|  172.01|   -0.36
16700|  201.75|  -18.96
 8318|  183.81|   -8.25
 8317|  167.53|    2.76
 8315|  161.39|    6.92
 8323|  183.36|   -7.81
 8322|  182.33|   -7.13
 8321|  176.46|   -3.19
14775|  204.87|  -20.39
 8320|  173.67|   -1.29
17286|  200.48|  -18.07
16417|  175.69|   -2.63
 8326|  176.47|   -3.15
 8319|  166.99|    3.30
14776|  200.96|  -18.29
 8324|  167.75|    2.84
 8325|  167.56|    2.97
14777|  196.93|  -15.95
 8327|  167.61|    2.98
 8335|  184.58|   -8.39
 8328|  171.47|    0.38
 8329|  172.50|   -0.31
 8333|  177.03|   -3.36
 8332|  176.58|   -3.05
 8331|  173.26|   -0.80
 8337|  177.33|   -3.52
 8334|  173.27|   -0.77
 8336|  171.31|    0.57
 8330|  166.47|    3.84
 8340|  177.96|   -3.88
 8339|  173.45|   -0.84
 8338|  172.09|    0.09
16802|  202.31|  -18.71
17287|  188.00|  -10.32
15829|  177.99|   -3.75
 8342|  173.18|   -0.44
 8341|  166.06|    4.34
 8344|  173.25|   -0.43
16157|  200.09|  -17.22
18143|  170.96|    1.11
 8343|  168.15|    3.02
 8345|  171.82|    0.57
16702|  205.15|  -19.82
 8348|  173.34|   -0.42
16701|  199.44|  -16.78
 8349|  176.76|   -2.70
 8347|  168.76|    2.68
 8350|  173.27|   -0.33
 8346|  166.73|    4.04
 8351|  173.20|   -0.28
 8352|  173.27|   -0.32
18162|  173.26|   -0.32
 8353|  173.42|   -0.41
 8354|  173.31|   -0.33
 8358|  175.24|   -1.61
 8355|  173.30|   -0.30
 8362|  175.81|   -1.98
 8356|  173.00|   -0.10
 8357|  173.31|   -0.30
 8359|  173.04|   -0.10
 8361|  173.29|   -0.27
 8360|  173.08|   -0.13
 8363|  173.04|   -0.09
 8371|  183.75|   -7.17
19906|  165.87|    4.69
 8365|  174.66|   -1.16
 8364|  173.24|   -0.20
 8366|  173.38|   -0.29
 8367|  173.73|   -0.51
 8370|  174.13|   -0.76
 8369|  173.05|   -0.03
 8368|  172.82|    0.12
 8376|  177.27|   -2.81
16197|  201.88|  -17.84
 8372|  172.92|    0.10
 8373|  173.31|   -0.16
 8374|  173.34|   -0.17
 8377|  173.90|   -0.54
 8375|  173.36|   -0.18
 8378|  173.38|   -0.19
 8381|  173.40|   -0.20
 8380|  173.38|   -0.19
18144|  172.25|    0.57
 8382|  174.30|   -0.80
 8379|  172.66|    0.30
16703|  202.37|  -18.06
 8384|  177.03|   -2.59
 8383|  173.10|    0.05
 8386|  173.25|   -0.03
 8385|  173.25|   -0.03
19907|  203.11|  -18.37
 8388|  172.73|    0.35
 8387|  168.99|    2.84
18163|  173.49|   -0.13
 8389|  173.23|    0.04
 8390|  172.95|    0.24
 8391|  173.59|   -0.18
16754|  201.66|  -17.51
 8393|  177.12|   -2.50
17190|  146.44|   16.76
 8392|  170.22|    2.11
 8395|  176.29|   -1.88
 8396|  173.13|    0.24
 8397|  173.00|    0.35
 8398|  173.20|    0.24
 8394|  162.43|    7.30
16755|  200.39|  -16.60
 8399|  172.04|    1.05
 8400|  170.30|    2.23
 8401|  172.76|    0.61
 8402|  173.62|    0.04
 8403|  174.46|   -0.50
 8404|  173.73|    0.01
16158|  201.67|  -17.19
 8405|  172.31|    0.97
 8406|  172.94|    0.56
 8408|  174.44|   -0.42
 8407|  170.24|    2.36
19908|  185.26|   -7.41
 8409|  171.38|    1.65
 8411|  184.39|   -6.84
16159|  210.38|  -21.39
16381|  198.02|  -14.94
19909|  194.30|  -12.77
 8410|  166.38|    5.07
14650|  200.40|  -16.17
 8412|  173.74|    0.31
 8413|  177.28|   -1.98
16175|  200.48|  -16.17
    1|  186.65|   -8.01
18185|  281.86|  -32.02
 8414|  177.33|   -1.99
16198|  209.80|  -20.85
18665|  173.90|    0.28
 8416|  173.95|    0.25
 8415|  173.90|    0.29
 8417|  173.90|    0.29
19910|  190.24|  -10.14
16654|  280.48|  -32.18
18840|  277.84|  -32.49
 8418|  173.40|    0.69
14780|  210.44|  -20.98
14779|  203.86|  -17.74
14778|  203.84|  -17.73
 8420|  173.40|    0.79
19658|  205.09|  -18.31
 8419|  169.11|    3.60
16419|  188.49|   -8.89
16704|  207.82|  -19.66
 8421|  167.04|    5.03
 8427|  205.14|  -18.20
 8424|  180.30|   -3.56
 8422|  175.77|   -0.61
 8423|  178.80|   -2.58
 8425|  180.34|   -3.57
16705|  207.95|  -19.53
 8426|  173.77|    0.76
 8431|  189.90|   -9.40
16554|  167.51|    4.90
14781|  204.84|  -17.81
16160|  187.39|   -7.84
 8429|  183.31|   -5.26
 8428|  172.29|    1.88
 8432|  184.74|   -6.08
16199|  202.53|  -16.49
19659|  205.45|  -17.99
16161|  204.79|  -17.64
 8430|  164.90|    6.71
 8433|  172.91|    1.64
 8434|  171.55|    2.55
16892|  204.26|  -17.22
 8435|  179.85|   -2.77
 8436|  179.47|   -2.51
16803|  198.79|  -14.24
16706|  209.54|  -19.76
14782|  195.40|  -12.29
 8437|  179.20|   -2.29
16707|  207.76|  -18.88
 8438|  182.53|   -4.39
14784|  209.57|  -19.72
14785|  209.56|  -19.71
17092|  208.37|  -19.13
14783|  195.05|  -12.00
17380|  194.97|  -11.94
16708|  209.07|  -19.44
 8440|  176.48|   -0.45
 8439|  175.81|   -0.01
15760|  195.34|  -12.14
16555|  194.79|  -11.82
18845|  277.70|  -32.16
14651|  209.01|  -19.39
14652|  209.01|  -19.38
14788|  209.01|  -19.38
19571|  195.21|  -12.05
16710|  209.01|  -19.38
 8441|  173.63|    1.41
16709|  208.99|  -19.36
14786|  208.18|  -18.96
17093|  208.11|  -18.92
14789|  209.05|  -19.37
14787|  208.50|  -19.11
14790|  209.52|  -19.58
19593|  209.52|  -19.58
16182|  209.06|  -19.36
17288|  182.95|   -4.52
14653|  208.07|  -18.86
16712|  208.93|  -19.27
16711|  208.52|  -19.07
 8442|  168.03|    5.04
17289|  207.04|  -18.33
 8444|  185.22|   -5.89
 8443|  171.67|    2.78
16713|  208.20|  -18.76
15881|  165.90|    6.51
14791|  205.21|  -17.24
16162|  209.37|  -19.28
 8445|  174.53|    1.07
19660|  204.40|  -16.80
 8446|  174.51|    1.10
 8447|  174.55|    1.08
 8448|  174.55|    1.08
 8454|  185.49|   -5.86
 8449|  174.51|    1.11
 8452|  182.43|   -3.93
 8450|  174.55|    1.10
 8451|  174.53|    1.13
16163|  209.81|  -19.39
 8457|  182.15|   -3.70
 8455|  179.83|   -2.21
 8458|  182.10|   -3.65
 8453|  174.53|    1.18
 8456|  172.12|    2.76
17337|  180.72|   -2.65
 8459|  174.06|    1.58
 8463|  196.20|  -12.03
14792|  209.79|  -19.15
14654|  208.86|  -18.66
 8464|  185.69|   -5.64
 8460|  172.17|    2.90
 8462|  180.49|   -2.37
19661|  205.01|  -16.70
 8461|  174.85|    1.25
16164|  208.78|  -18.54
16556|  197.53|  -12.59
 8465|  191.54|   -9.08
17094|  205.43|  -16.78
16184|  210.53|  -19.17
19547|  212.34|  -20.00
 8473|  206.82|  -17.34
 8474|  206.82|  -17.33
 8475|  206.82|  -17.32
 8466|  174.69|    1.60
 8467|  175.12|    1.34
 8468|  181.45|   -2.64
 8470|  179.64|   -1.49
 8477|  200.73|  -14.03
 8469|  171.12|    3.93
 8471|  179.04|   -1.03
18145|  171.50|    3.72
 8472|  177.63|   -0.11
19911|  171.64|    3.69
15072|  238.81|  -28.86
 8479|  184.99|   -4.64
16395|  181.90|   -2.71
 8478|  180.30|   -1.71
 8476|  173.43|    2.61
 8480|  180.58|   -1.83
 8483|  205.89|  -16.50
 8482|  179.50|   -1.06
19548|  207.78|  -17.37
 8481|  175.01|    1.77
16557|  177.37|    0.35
 8486|  207.26|  -17.03
14793|  206.45|  -16.59
16893|  206.45|  -16.59
17605|  176.94|    0.66
16558|  214.44|  -20.37
16165|  205.71|  -16.19
 8488|  206.07|  -16.34
 8484|  173.60|    2.79
16714|  208.06|  -17.28
16382|  190.09|   -7.31
16420|  179.04|   -0.50
16756|  211.19|  -18.72
 8487|  174.69|    2.23
 8490|  193.05|   -9.02
 8485|  171.66|    4.12
 8489|  181.51|   -1.97
 8495|  206.85|  -16.54
17290|  220.74|  -22.75
16811|  206.51|  -16.29
17414|  184.35|   -3.65
 8492|  178.30|    0.12
 8493|  179.09|   -0.37
 8494|  178.54|    0.03
 8491|  167.57|    6.79
 8496|  173.46|    3.24
 8497|  171.98|    4.17
 8500|  185.93|   -4.41
 8498|  173.53|    3.25
 8504|  209.19|  -17.38
 8499|  171.97|    4.23
17231|  226.61|  -24.60
 8501|  175.11|    2.37
 8503|  175.91|    1.93
 8502|  170.32|    5.34
19572|  200.15|  -12.51
 8505|  180.36|   -0.73
 8507|  182.75|   -2.20
19573|  213.36|  -19.09
 8506|  178.54|    0.41
16222|  205.89|  -15.46
 8509|  178.04|    0.75
 8511|  178.12|    0.76
 8508|  169.33|    6.12
 8512|  181.68|   -1.41
 8516|  181.27|   -1.16
 8510|  174.48|    3.02
 8514|  179.66|   -0.15
 8515|  175.21|    2.64
 8513|  170.44|    5.54
 8517|  175.35|    2.62
 8518|  176.00|    2.26
 8523|  186.31|   -4.02
 8519|  174.38|    3.28
 8521|  175.49|    2.62
 8520|  174.62|    3.15
 8522|  175.55|    2.61
16891|  179.78|    0.06
 8526|  179.68|    0.17
 8525|  176.56|    2.08
 8527|  178.95|    0.64
 8530|  185.96|   -3.61
 8529|  182.04|   -1.21
 8528|  178.44|    0.98
 8524|  168.49|    6.98
14794|  237.29|  -27.10
 8531|  177.24|    1.86
 8532|  182.99|   -1.62
 8535|  205.33|  -14.32
16559|  191.39|   -6.55
 8533|  167.59|    7.76
 8534|  166.55|    8.40
16383|  193.17|   -7.33
 8536|  180.89|    0.01
14795|  214.51|  -18.50
 8537|  178.81|    1.31
19912|  194.50|   -8.01
17191|  161.11|   11.67
 8538|  168.12|    7.76
 8540|  183.60|   -1.44
 8539|  174.08|    4.28
 8541|  183.83|   -1.55
 8542|  180.87|    0.26
19736|  204.98|  -13.57
 8544|  181.71|   -0.21
 8545|  180.20|    0.72
 8543|  173.95|    4.48
 8550|  194.56|   -7.76
 8547|  182.48|   -0.59
 8546|  177.91|    2.15
 8549|  179.74|    1.09
 8548|  176.24|    3.20
15974|  194.49|   -7.57
 8552|  181.97|   -0.17
 8551|  179.41|    1.38
 8553|  173.53|    4.94
    2|  188.91|   -4.15
19638|  184.87|   -1.73
 8554|  178.72|    2.00
 8555|  182.83|   -0.45
 8559|  185.31|   -1.77
 8557|  179.75|    1.56
 8558|  179.75|    1.56
 8556|  174.81|    4.48
 8561|  181.73|    0.43
16166|  212.89|  -16.76
 8560|  180.62|    1.10
 8564|  187.04|   -2.64
 8562|  183.16|   -0.32
 8563|  178.43|    2.51
 8566|  181.28|    0.84
 8565|  177.86|    2.86
 8567|  182.35|    0.21
17232|  271.70|  -30.65
 8569|  192.68|   -5.84
 8568|  174.38|    4.97
    3|  189.20|   -3.71
 8570|  183.51|   -0.31
 8574|  186.78|   -2.14
 8575|  185.81|   -1.56
 8573|  184.78|   -0.95
 8571|  173.83|    5.48
 8572|  180.21|    1.77
 8576|  182.99|    0.14
 8578|  182.48|    0.45
 8577|  178.06|    3.08
 8579|  183.64|   -0.14
    4|  190.52|   -4.16
 8581|  182.12|    0.80
 8580|  179.71|    2.22
17634|  191.96|   -4.93
 8583|  187.89|   -2.51
 8582|  183.11|    0.30
 8584|  186.83|   -1.88
 8585|  179.94|    2.22
 8586|  179.75|    2.39
16167|  210.05|  -14.50
 8587|  179.08|    2.81
 8589|  186.33|   -1.43
    5|  189.91|   -3.51
 8588|  180.53|    1.99
 8591|  194.07|   -5.88
16515|  188.98|   -2.88
 8590|  181.70|    1.39
 8592|  181.97|    1.31
16894|  234.10|  -24.04
 8593|  180.50|    2.22
    6|  189.05|   -2.76
 8594|  179.58|    2.77
 8597|  187.34|   -1.74
 8595|  182.18|    1.27
 8598|  188.78|   -2.57
    7|  188.78|   -2.57
 8596|  181.01|    1.98
 8600|  188.73|   -2.48
 8599|  184.22|    0.17
19549|  196.27|   -6.76
 8602|  184.23|    0.31
 8601|  181.22|    2.06
 8604|  187.48|   -1.52
 8603|  180.30|    2.65
14655|  192.15|   -4.19
 8606|  185.88|   -0.55
 8605|  185.32|   -0.22
    8|  191.34|   -3.66
 8607|  179.68|    3.12
 8609|  186.07|   -0.58
 8611|  186.42|   -0.76
 8608|  182.02|    1.79
 8610|  183.28|    1.07
14860|  241.23|  -25.64
    9|  191.67|   -3.71
 8612|  184.71|    0.32
 8613|  182.43|    1.70
 8616|  188.09|   -1.56
 8615|  188.09|   -1.56
 8614|  183.97|    0.84
 8617|  182.04|    1.98
 8619|  182.45|    1.76
 8620|  181.35|    2.42
 8618|  178.89|    3.84
 8621|  183.69|    1.10
 8622|  183.36|    1.29
 8624|  187.23|   -0.90
 8623|  180.34|    3.07
 8625|  186.40|   -0.36
 8626|  182.36|    2.00
 8627|  182.11|    2.15
 8628|  185.81|    0.02
 8629|  182.69|    1.85
 8633|  203.44|   -9.80
17596|  186.05|    0.00
 8630|  178.11|    4.58
 8632|  183.55|    1.49
16421|  208.25|  -12.18
 8631|  178.44|    4.42
 8634|  183.06|    1.81
 8635|  184.93|    0.78
   10|  190.08|   -2.09
 8637|  189.44|   -1.72
 8639|  194.48|   -4.58
 8636|  186.20|    0.15
19248|  184.78|    0.99
 8638|  182.43|    2.36
19250|  184.62|    1.12
19249|  186.30|    0.17
19251|  184.68|    1.12
 8641|  188.84|   -1.23
 8640|  181.30|    3.09
 8642|  186.57|    0.11
 8643|  182.90|    2.23
 8649|  189.28|   -1.40
 8645|  186.58|    0.14
 8651|  189.28|   -1.40
 8646|  186.57|    0.16
 8647|  186.58|    0.15
 8650|  186.62|    0.14
 8658|  202.22|   -8.58
 8652|  186.59|    0.16
 8648|  184.63|    1.28
 8644|  180.90|    3.40
 8654|  186.62|    0.18
 8655|  185.63|    0.79
 8653|  178.30|    4.94
 8657|  185.11|    1.10
 8656|  184.73|    1.32
 8659|  184.67|    1.43
15800|  216.95|  -15.77
   11|  190.92|   -2.11
 8662|  197.21|   -5.64
 8661|  189.42|   -1.24
 8660|  180.05|    4.08
 8665|  184.30|    1.85
 8664|  180.85|    3.81
 8663|  179.73|    4.45
 8666|  180.88|    3.81
16422|  163.22|   13.19
 8668|  188.57|   -0.52
 8667|  182.15|    3.15
 8670|  186.41|    0.76
 8669|  180.09|    4.34
18667|  180.83|    3.99
16384|  190.03|   -1.18
 8671|  181.16|    3.84
 8672|  187.53|    0.27
 8677|  198.81|   -6.05
17192|  162.99|   13.46
 8674|  183.78|    2.43
 8675|  187.69|    0.23
 8676|  187.70|    0.24
 8673|  180.93|    4.04
 8679|  189.69|   -0.86
 8680|  204.89|   -9.21
 8678|  185.23|    1.68
18666|  180.87|    4.12
19252|  186.76|    0.84
15882|  213.60|  -13.54
14861|  238.43|  -23.36
 8682|  188.33|    0.07
 8681|  180.31|    4.60
 8684|  186.94|    0.91
 8685|  186.38|    1.25
 8687|  186.38|    1.26
 8688|  186.32|    1.31
 8686|  182.28|    3.58
 8689|  185.26|    1.92
 8691|  186.32|    1.34
 8696|  204.55|   -8.72
 8683|  175.72|    7.20
 8692|  186.74|    1.11
 8693|  186.99|    0.97
 8690|  176.42|    6.87
 8694|  180.50|    4.66
 8695|  182.49|    3.56
 8697|  187.37|    0.86
17415|  178.10|    6.02
 8698|  186.96|    1.11
 8699|  182.37|    3.72
 8700|  189.60|   -0.31
14741|  164.97|   12.89
 8703|  188.48|    0.40
 8701|  182.26|    3.87
 8705|  188.30|    0.54
 8702|  174.70|    8.04
 8704|  179.26|    5.60
 8707|  186.82|    1.43
 8706|  183.72|    3.15
 8709|  200.07|   -5.91
 8708|  183.22|    3.48
16183|  211.57|  -11.87
 8712|  196.96|   -4.13
14657|  218.04|  -14.90
 8711|  187.69|    1.05
   12|  191.00|   -0.79
19263|  186.77|    1.58
19913|  210.83|  -11.42
16336|  186.19|    1.91
 8710|  182.24|    4.10
 8713|  187.38|    1.26
14862|  240.83|  -23.48
 8714|  187.56|    1.21
19639|  181.47|    4.59
 8716|  189.13|    0.36
 8715|  183.49|    3.50
19971|  175.91|    7.63
 8718|  189.69|    0.08
 8729|  213.69|  -12.66
 8721|  189.76|    0.08
 8719|  186.96|    1.64
16726|  194.81|   -2.72
 8717|  180.09|    5.43
 8722|  188.60|    0.75
 8720|  182.33|    4.23
 8724|  188.82|    0.67
 8725|  188.11|    1.08
 8726|  188.11|    1.08
 8723|  182.58|    4.15
 8728|  189.53|    0.31
 8727|  187.07|    1.68
17639|  213.59|  -12.47
 8730|  188.15|    1.12
16325|  195.59|   -2.95
 8731|  187.89|    1.31
 8739|  204.68|   -7.86
 8732|  188.68|    0.91
17640|  212.82|  -11.99
16326|  195.64|   -2.94
 8733|  187.72|    1.46
 8735|  187.74|    1.45
 8734|  187.74|    1.45
 8738|  195.62|   -2.91
