#    |              BAT_NAME|     RA|    DEC|     SNR|              COUNTERPART_NAME|                     OTHER_NAME| CTPT_RA|CTPT_DEC|    FLUX| FLUX_LO| FLUX_HI|CONTA|GAMM|GAMM|GAMM|  CHI_SQ_R|REDSHIF|  LUM|ASSOC_STREN|        CL2|                 TYPE
#    |                      |    deg|    deg|        |                              |                               |     deg|     deg|10^-12er|10^-12er|10^-12er|     |    |    |    |          |       |log  |           |           |
 314|SWIFT J0559.8-5028    | 89.943|-50.453|   13.60|Q0558-504                     |                               | 89.9474|-50.4477|   18.18|   15.61|   20.62|  0.0|2.28|2.00|2.61|      1.10| 0.1370| 44.9|           |         40|Sy1                 
 315|SWIFT J0600.7+0008    | 90.140|  0.144|    8.32|IRAS05581+0006                |                               | 90.1670|  0.1053|   15.61|   11.99|   19.04|  0.0|2.14|1.77|2.57|      0.80| 0.1140| 44.7|           |         40|Sy1                 
 316|SWIFT J0602.2+2829    | 90.541| 28.466|   30.25|IRAS05589+2828                |                               | 90.5437| 28.4721|   62.28|   58.53|   65.84|  0.0|2.20|2.08|2.31|      1.40| 0.0330| 44.1|           |         40|Sy1.2               
 317|SWIFT J0602.5+6518    | 90.570| 65.316|   11.07|UGC3386                       |                               | 90.6581| 65.3712|   23.06|   19.43|   26.49|  0.0|1.63|1.36|1.91|      1.50| 0.0170| 43.2|           |         50|Sy2                 
 318|SWIFT J0606.0-2755    | 91.463|-27.937|    6.30|2MASXJ06054896-2754398        |                               | 91.4540|-27.9112|   10.39|    7.38|   13.24|  0.0|2.16|1.63|2.83|      0.40| 0.0890| 44.3|           |         40|Sy1.5               
 319|SWIFT J0601.9-8636    | 91.467|-86.606|   14.39|ESO5-4                        |                               | 91.4235|-86.6319|   30.89|   28.75|   33.64|  0.0|1.52|1.32|1.72|      1.40| 0.0060| 42.4|           |         50|Sy2                 
 320|SWIFT J0609.5-6245A   | 92.275|-62.746|    6.34|2MASXJ06100652-6243125        |                               | 92.5272|-62.7201|    4.59|    2.24|    7.67|  0.0|1.95|0.00|4.75|      0.50| 0.1570| 44.4|           |         50|Sy1.9               
 321|SWIFT J0609.5-6245B   | 91.907|-62.788|    3.95|LEDA2816519                   |                               | 92.1610|-62.7880|    7.67|    5.22|   10.80|  0.0|1.83|0.93|2.99|      0.10| 0.0980| 44.2|           |         70|Unknown AGN         
 322|SWIFT J0610.6-8151    | 92.690|-81.799|    4.31|AH Men                        |                               | 92.9336|-81.8234|    5.45|    3.99|    7.35|  0.0|2.44|1.72|3.50|      1.70|       |     |           |        170|Nova                
 323|SWIFT J0612.2-4645    | 93.062|-46.745|    5.82|PMN J0612-4647                |                               | 93.1110|-46.7870|    6.85|    5.44|    8.63|  0.0|2.47|1.85|3.35|      0.60|       |     |           |         80|Beamed AGN          
 324|SWIFT J0614.0+1709    | 93.502| 17.086|    4.97|2MASS J06141230+1704321       |                               | 93.5513| 17.0756|    7.84|    6.12|   10.00|  0.0|2.88|2.09|3.97|      1.60|       |     |           |         90|CV                  
 325|SWIFT J0615.8+7101    | 93.911| 71.030|   73.71|Mrk3                          |                               | 93.9015| 71.0375|  150.12|  148.14|  152.69|  0.0|1.68|1.64|1.72|      7.60| 0.0130| 43.7|           |         50|Sy1.9               
 326|SWIFT J0617.2+0907    | 94.279|  9.138|  236.68|4U 0614+091                   |                               | 94.2804|  9.1369|  438.29|  436.42|  440.73|  0.0|2.54|2.52|2.56|      4.20|       |     |           |        190|LMXB                
 327|SWIFT J0623.3-6438    | 95.852|-64.611|    7.31|2MASXJ06230765-6436211        |                               | 95.7821|-64.6057|   11.64|   10.02|   13.74|  0.0|1.98|1.53|2.51|      2.20| 0.1280| 44.7|           |         80|Beamed AGN          
 328|SWIFT J0623.8+6445    | 96.173| 64.800|    6.58|1RXSJ062334.6+644542          |                               | 95.8964| 64.7601|    6.50|    4.69|    8.46|  0.0|3.02|2.12|4.47|      0.90| 0.0860| 44.0|           |         40|Sy1                 
 329|SWIFT J0623.9-6058    | 95.936|-60.981|   16.54|ESO121-28                     |                               | 95.9400|-60.9790|   29.69|   27.09|   32.45|  0.0|1.81|1.62|2.00|      0.20| 0.0400| 44.0|           |         50|Sy2                 
 330|SWIFT J0623.8-3215    | 95.935|-32.233|   12.38|ESO426-2                      |                               | 95.9434|-32.2166|   24.12|   21.18|   27.23|  0.0|1.83|1.60|2.08|      0.70| 0.0220| 43.4|           |         50|Sy2                 
 331|SWIFT J0623.9-0939    | 96.004| -9.656|    8.03|SWIFT J062406.05-093855.0     |                               | 96.0252| -9.6486|   10.90|    8.84|   13.13|  0.0|3.01|2.47|3.74|      0.70|       |     |           |         90|CV                  
 332|SWIFT J0625.1+7336    | 96.287| 73.582|   13.30|MU Cam                        |                               | 96.3176| 73.5775|   15.58|   14.12|   16.60|  0.0|3.10|2.80|3.43|      2.70|       |     |           |         90|CV                  
 333|SWIFT J0626.6+0729    | 96.643|  7.473|    6.53|LEDA136513                    |                               | 96.6126|  7.4580|   15.78|   12.62|   18.04|  0.0|1.87|1.42|2.39|      1.00| 0.0020| 41.1|           |         70|Unknown AGN         
 334|SWIFT J0626.6-3702    | 96.610|-37.014|    9.27|6dFJ0626585-370559            |                               | 96.7442|-37.0996|   13.11|   10.84|   14.73|  0.0|1.95|1.55|2.40|      0.60| 0.0390| 43.6|           |         50|Sy1.9               
 335|SWIFT J0630.7+6342    | 98.316| 63.695|    5.09|UGC3478                       |                               | 98.1965| 63.6737|    8.40|    6.15|    9.96|  0.0|2.35|1.79|3.08|      1.60| 0.0120| 42.4|           |         40|Sy1.2               
 336|SWIFT J0630.9+1129    | 97.670| 11.549|    7.63|SWIFT J063107.4+112754        |                               | 97.7800| 11.4652|   13.57|   10.78|   15.56|  0.0|2.22|1.75|2.81|      1.80|       |     |           |         11|U2                  
 337|SWIFT J0632.8+6343    | 97.658| 63.693|    5.11|VIIZw73                       |                               | 97.6065| 63.6781|    9.98|    7.32|   14.03|  0.0|1.47|0.62|2.40|      0.20| 0.0410| 43.6|           |         50|Sy2                 
 338|SWIFT J0634.7-7445    | 98.370|-74.753|    6.42|2MASSJ06340353-7446377        |                               | 98.5147|-74.7771|   10.23|    8.47|   12.91|  0.0|2.11|1.60|2.72|      0.10| 0.1120| 44.5|           |         40|Sy1                 
 339|SWIFT J0635.1+2229    | 98.783| 22.473|    6.17|CIZA J0635.0+2231             |                               | 98.7642| 22.5250|    9.35|    7.67|   11.92|  0.0|3.12|2.40|4.14|      0.70|       |     |           |         30|Galaxy Cluster      
 340|SWIFT J0635.8-7514    | 99.016|-75.280|    9.57|PKS0637-752                   |                               | 98.9438|-75.2713|   16.52|   14.69|   19.31|  0.0|2.00|1.69|2.35|      0.70| 0.6510| 46.4|           |         80|Beamed AGN          
 341|SWIFT J0636.6+3536    | 99.143| 35.584|    8.38|1RXS J063631.9+353537         |                               | 99.1329| 35.5936|   13.36|   11.67|   15.44|  0.0|2.75|2.31|3.30|      0.90|       |     |           |         90|CV                  
 342|SWIFT J0640.4-2554    |100.049|-25.904|   20.40|ESO490-26                     |                               |100.0487|-25.8954|   39.49|   37.51|   41.93|  0.0|1.93|1.78|2.08|      0.30| 0.0240| 43.7|           |         40|Sy1.2               
 343|SWIFT J0640.0-4737    | 99.997|-47.672|    5.66|SWIFT J064013.50-474132.9     |                               |100.0567|-47.6927|   15.42|   13.03|   18.36|  0.0|1.06|0.00|1.59|      2.20|       |     |           |         11|U2                  
 344|SWIFT J0640.1-4328    |100.161|-43.343|   10.34|LEDA549777                    |                               |100.1583|-43.3558|   22.19|   20.12|   24.73|  0.0|1.52|1.26|1.79|      0.80| 0.0610| 44.3|           |         50|Sy2                 
 345|SWIFT J0641.3+3257    |100.330| 32.854|   12.63|2MASXJ06411806+3249313        |                               |100.3252| 32.8254|   31.87|   27.87|   34.97|  0.0|1.75|1.50|2.01|      1.70| 0.0470| 44.2|           |         50|Sy2                 
 346|SWIFT J0645.9+5303    |101.524| 53.053|    5.44|UGC3533                       |                               |101.6108| 53.0758|   10.14|    6.84|   12.71|  0.0|1.93|1.39|2.56|      1.20| 0.0350| 43.4|           |         50|Sy2                 
 347|SWIFT J0651.9+7426    |103.080| 74.435|   31.79|Mrk6                          |                               |103.0511| 74.4271|   56.70|   53.80|   58.96|  0.0|1.91|1.82|2.00|      2.80| 0.0180| 43.6|           |         40|Sy1.5               
 348|SWIFT J0654.6+0700    |103.632|  7.045|    7.84|2MASSJ06543417+0703210        |                               |103.6424|  7.0558|   16.34|   12.71|   19.16|  0.0|2.05|1.62|2.56|      0.70| 0.0240| 43.3|           |         50|Sy1.9               
 349|SWIFT J0655.8+3957    |103.930| 39.992|    8.62|UGC3601                       |                               |103.9564| 40.0002|   18.22|   14.73|   20.93|  0.0|1.97|1.61|2.39|      0.70| 0.0170| 43.0|           |         50|Sy1.9               
 350|SWIFT J0656.4-4921    |104.073|-49.335|    6.16|LEDA478026                    |                               |104.0498|-49.3306|   10.91|    8.42|   12.80|  0.0|1.83|1.29|2.46|      0.60| 0.0410| 43.6|           |         50|Sy2                 
 351|SWIFT J0658.3-0712    |104.572| -7.227|   48.42|2E 1752                       |                               |104.5720| -7.2098|   60.44|   58.71|   61.77|  0.0|3.31|3.20|3.42|      3.90|       |     |           |        180|HMXB                
 352|SWIFT J0658.5-5556    |104.630|-55.945|    5.15|Bullet Cluster                |                               |104.6217|-55.9528|    6.23|    4.43|    7.57|  0.0|2.67|1.84|3.98|      0.70|       |     |           |         30|Galaxy Cluster      
 353|SWIFT J0659.3+2406    |104.823| 24.084|    5.72|2MASXJ06591070+2401400        |                               |104.7945| 24.0278|   11.73|    8.76|   13.99|  0.0|2.16|1.62|2.81|      1.90| 0.0910| 44.3|           |         50|Sy2                 
 354|SWIFT J0701.3-3235    |105.301|-32.613|    5.25|2MASXJ07011026-3234534        |                               |105.2927|-32.5814|    9.54|    7.04|   12.25|  0.0|1.90|1.37|2.54|      1.00| 0.0430| 43.6|           |         70|Unknown AGN         
 355|SWIFT J0704.4+2625    |106.076| 26.490|    5.06|1RXS J070407.9+262501         |                               |106.0329| 26.4169|    7.15|    5.03|    9.47|  0.0|2.83|2.01|4.12|      1.10|       |     |           |         90|CV                  
 356|SWIFT J0706.8+0325    |106.680|  3.433|    4.96|1RXS J070648.8+032450         |                               |106.7032|  3.4130|    7.82|    5.43|   10.42|  0.0|2.53|1.81|3.49|      1.90|       |     |           |         90|CV                  
 357|SWIFT J0707.1+6433    |106.772| 64.605|    5.89|VIIZw118                      |                               |106.8047| 64.5997|    9.29|    7.05|   11.71|  0.0|2.23|1.69|2.89|      0.70| 0.0790| 44.1|           |         40|Sy1                 
 358|SWIFT J0709.0-4642    |107.225|-46.745|    6.88|LEDA511628                    |                               |107.1803|-46.7137|   13.41|   10.71|   16.65|  0.0|1.66|1.23|2.13|      0.80| 0.0460| 43.8|           |         50|Sy2                 
 359|SWIFT J0709.3-1527    |107.329|-15.437|    6.33|PKS 0706-15                   |                               |107.3011|-15.4501|    7.37|    5.74|    9.36|  0.0|3.42|2.63|4.74|      0.40|       |     |           |         80|Beamed AGN          
 360|SWIFT J0709.4-3559    |107.333|-35.988|   10.50|2MASXJ07091407-3601216        |                               |107.3087|-36.0227|   21.34|   18.66|   24.55|  0.0|1.72|1.45|2.00|      0.50| 0.1100| 44.8|           |         50|Sy2                 
 361|SWIFT J0710.3+5908    |107.635| 59.140|   15.38|2MASXJ07103005+5908202        |                               |107.6253| 59.1390|   24.06|   21.76|   26.83|  0.0|2.28|2.04|2.54|      2.10| 0.1250| 44.9|           |         80|Beamed AGN          
 362|SWIFT J0714.2+3518    |108.550| 35.321|    9.25|UGC3752                       |                               |108.5161| 35.2793|   19.24|   16.33|   22.73|  0.0|1.99|1.68|2.33|      1.40| 0.0150| 43.0|           |         50|Sy1.9               
 363|SWIFT J0714.3+4541    |108.535| 45.683|    4.74|Mrk376                        |                               |108.5628| 45.6988|    8.74|    6.21|   10.65|  0.0|2.04|1.43|2.83|      0.50| 0.0560| 43.8|           |         40|Sy1.2               
 364|SWIFT J0714.7-2521    |108.634|-25.306|    9.78|SWIFT J0714.7-2521            |                               |108.6546|-25.2899|   18.90|   16.24|   20.90|  0.0|1.86|1.54|2.21|      0.30|       |     |           |         11|U2                  
 365|SWIFT J0717.8-2156    |109.447|-21.942|    5.35|1RXS J071748.9-215306         |                               |109.4508|-21.8839|    6.53|    4.78|    7.85|  0.0|2.96|2.24|4.06|      0.40|       |     |           |         11|U2                  
 366|SWIFT J0718.1+4403    |109.524| 44.082|   13.14|LEDA20607                     |                               |109.5024| 44.0909|   22.53|   20.11|   24.34|  0.0|2.23|1.98|2.50|      1.40| 0.0610| 44.3|           |         40|Sy1.5               
 367|SWIFT J0723.8-0804    |110.925| -8.069|    6.51|1RXS J072352.4-080623         |                               |110.9712| -8.1033|   14.46|   11.46|   18.20|  0.0|1.71|1.22|2.26|      0.80|       |     |           |         11|U2                  
 368|SWIFT J0725.7-0055    |111.478| -0.942|    6.31|PKS0723-008                   |                               |111.4610| -0.9157|   14.85|   11.75|   18.73|  0.0|1.75|1.29|2.26|      1.50| 0.1280| 44.8|           |         80|Beamed AGN          
 369|SWIFT J0725.8+3000    |111.352| 30.018|    5.23|Z147-20                       |                               |111.4057| 29.9541|    9.21|    6.64|   12.48|  0.0|2.19|1.51|3.14|      0.80| 0.0180| 42.8|           |         50|Sy2                 
 370|SWIFT J0726.6-3552    |111.635|-35.894|    9.07|LEDA96373                     |                               |111.6098|-35.9060|   18.94|   16.39|   22.13|  0.0|1.67|1.37|1.98|      1.20| 0.0290| 43.5|           |         50|Sy2                 
 371|SWIFT J0726.5+3659    |111.664| 37.001|    6.12|2MASXJ07263532+3700028        |                               |111.6472| 37.0008|   12.01|    9.29|   14.53|  0.0|2.07|1.54|2.74|      0.40| 0.1900| 45.0|           |         40|Sy1                 
 372|SWIFT J0727.4-2408    |111.853|-24.116|    8.40|1RXSJ072720.8-240629          |                               |111.8377|-24.1089|   19.05|   16.06|   21.85|  0.0|1.55|1.14|1.97|      1.00| 0.1230| 44.8|           |         50|Sy1.9               
 373|SWIFT J0728.8-2605    |112.224|-26.113|   19.58|4U 0728-25                    |                               |112.2233|-26.1081|   21.78|   20.38|   23.09|  0.0|3.56|3.29|3.86|      1.70|       |     |           |        180|HMXB                
 374|SWIFT J0731.5+0957    |112.860|  9.926|   16.83|BG CMi                        |                               |112.8708|  9.9396|   23.56|   21.74|   25.27|  0.0|3.24|2.98|3.53|      1.90|       |     |           |         90|CV                  
 375|SWIFT J0732.5-1331    |113.167|-13.509|   18.63|SWIFT J073237.6-133109        |                               |113.1563|-13.5178|   28.04|   25.92|   30.03|  0.0|2.63|2.44|2.85|      2.40|       |     |           |         90|CV                  
 376|SWIFT J0733.2+4558    |113.225| 45.972|    6.54|SDSSJ073309.19+455506.2       |                               |113.2883| 45.9184|   10.44|    8.11|   12.86|  0.0|2.21|1.69|2.88|      1.00| 0.1410| 44.7|           |         40|Sy1                 
 377|SWIFT J0733.9+5156    |113.404| 51.931|    5.38|2MASXJ07332681+5153560        |                               |113.3617| 51.8989|    8.17|    6.00|   10.44|  0.0|2.32|1.61|3.25|      1.70| 0.5060| 45.9|           |         80|Beamed AGN          
 378|SWIFT J0736.9+5846    |114.334| 58.800|    6.54|Mrk9                          |                               |114.2374| 58.7704|    9.84|    7.65|   12.12|  0.0|2.23|1.77|2.77|      1.40| 0.0390| 43.5|           |         40|Sy1.2               
 379|SWIFT J0739.7-3142    |114.897|-31.720|   14.47|LEDA86063                     |                               |114.9362|-31.7174|   27.78|   25.17|   30.53|  0.0|1.74|1.53|1.97|      0.60| 0.0250| 43.6|           |         50|Sy2                 
 380|SWIFT J0741.4-5447    |115.348|-54.743|    6.42|2MASXJ07410919-5447461        |                               |115.2884|-54.7961|   12.11|    9.66|   14.66|  0.0|1.69|1.24|2.18|      1.00| 0.7130| 46.4|           |         70|Unknown AGN         
 381|SWIFT J0742.3+8024    |115.531| 80.438|    5.33|3C184.1                       |                               |115.7553| 80.4406|    9.45|    6.64|   11.62|  0.0|1.83|1.28|2.47|      0.70| 0.1180| 44.5|           |         40|Sy1                 
 382|SWIFT J0742.5+4948    |115.623| 49.812|   25.31|Mrk79                         |                               |115.6367| 49.8097|   42.72|   39.97|   44.86|  0.0|2.13|2.00|2.26|      1.80| 0.0220| 43.6|           |         40|Sy1.5               
 383|SWIFT J0743.0+6513    |115.791| 65.190|    5.68|Mrk78                         |                               |115.6739| 65.1771|    9.96|    7.17|   12.11|  0.0|2.01|1.51|2.57|      2.40| 0.0370| 43.5|           |         50|Sy2                 
 384|SWIFT J0743.3-2546    |115.799|-25.778|   11.74|LEDA86073                     |                               |115.8114|-25.7639|   19.54|   16.77|   21.69|  0.0|2.18|1.89|2.51|      0.80| 0.0230| 43.3|           |         40|Sy1.2               
 385|SWIFT J0744.0+2914    |116.015| 29.271|    9.63|UGC3995B                      |                               |116.0380| 29.2474|   22.41|   19.30|   25.23|  0.0|1.76|1.49|2.04|      1.90| 0.0160| 43.1|           |         50|Sy2                 
 386|SWIFT J0746.3-1608    |116.582|-16.178|   12.03|1RXS J074616.8-161127         |                               |116.5700|-16.1908|   16.26|   14.42|   17.95|  0.0|2.94|2.60|3.35|      0.80|       |     |           |         90|CV                  
 387|SWIFT J0746.3+2548    |116.587| 25.808|   12.69|B20743+25                     |                               |116.6078| 25.8173|   36.01|   32.51|   39.17|  0.0|1.43|1.19|1.67|      0.60| 2.9790| 48.4|           |         80|Beamed AGN          
 388|SWIFT J0747.2-1920    |116.882|-19.276|    7.67|PKS 0745-19                   |                               |116.8805|-19.2944|    8.56|    7.45|    9.61|  0.0|4.89|4.05|6.09|      0.40|       |     |           |         30|Galaxy Cluster      
 389|SWIFT J0747.5+6057    |116.812| 60.921|    8.25|Mrk10                         |                               |116.8714| 60.9335|   15.02|   12.47|   17.35|  0.0|1.85|1.50|2.25|      0.80| 0.0290| 43.4|           |         40|Sy1.5               
 390|SWIFT J0747.6-7326    |117.006|-73.451|    6.60|LEDA255906                    |                               |116.9098|-73.4314|   12.46|   10.03|   14.89|  0.0|1.79|1.42|2.20|      2.40| 0.0360| 43.5|           |         50|Sy2                 
 391|SWIFT J0748.8-6743    |117.137|-67.753|  120.60|EXO 0748-676                  |                               |117.1388|-67.7500|  177.52|  175.44|  179.60|  0.0|2.21|2.18|2.24|      3.60|       |     |           |        190|LMXB                
 392|SWIFT J0749.7-3218    |117.385|-32.276|    4.92|SWIFT J074940.0-321536        |                               |117.3832|-32.2599|    5.83|    4.15|    7.43|  0.0|2.89|2.05|4.03|      1.60|       |     |           |         90|CV                  
 393|SWIFT J0750.9+1439    |117.824| 14.747|   22.56|PQ Gem                        |                               |117.8225| 14.7402|   32.47|   30.43|   34.52|  0.0|2.91|2.72|3.12|      1.30|       |     |           |         90|CV                  
 394|SWIFT J0752.2+1937    |118.087| 19.630|    9.60|HS0749+1943                   |                               |118.0743| 19.5951|   16.84|   14.13|   19.35|  0.0|2.21|1.84|2.66|      0.30| 0.1170| 44.7|           |         40|Sy1.5               
 395|SWIFT J0753.1+4559    |118.242| 45.988|    6.76|LEDA2272950                   |                               |118.1842| 45.9493|   14.87|   11.99|   17.54|  0.0|1.68|1.29|2.09|      1.50| 0.0510| 43.9|           |         50|Sy1.9               
 396|SWIFT J0755.4+8402    |119.011| 83.997|    5.33|1RXS J075813.2+835637         |                               |119.5550| 83.9436|    5.97|    4.09|    7.75|  0.0|2.53|1.66|3.88|      0.80|       |     |           |         11|U2                  
 397|SWIFT J0756.3-4137    |119.032|-41.647|    7.25|2MASXJ07561963-4137420        |                               |119.0817|-41.6284|   14.10|   11.28|   16.71|  0.0|1.67|1.21|2.18|      0.70| 0.0210| 43.1|           |         50|Sy2                 
 398|SWIFT J0759.8-3844    |119.935|-38.739|   31.38|2MASSJ07594181-3843560        |                               |119.9242|-38.7322|   51.15|   48.70|   53.42|  0.0|2.03|1.93|2.15|      1.30| 0.0400| 44.2|           |         40|Sy1.2               
 399|SWIFT J0800.5+2327    |119.998| 23.410|   14.21|Z118-36                       |                               |119.9728| 23.3901|   31.57|   27.47|   34.09|  0.0|1.75|1.53|1.99|      0.40| 0.0290| 43.7|           |         50|Sy1.9               
 400|SWIFT J0800.1+2638    |120.049| 26.622|   13.85|IC486                         |                               |120.0874| 26.6135|   33.80|   29.55|   36.41|  0.0|1.63|1.42|1.85|      0.10| 0.0260| 43.7|           |         50|Sy1.9               
 401|SWIFT J0800.7-4309    |120.204|-43.110|    5.24|SWIFT J080040.2-431107        |                               |120.1674|-43.1854|    5.82|    3.63|    7.35|  0.0|2.80|2.00|4.03|      0.90|       |     |           |         90|CV                  
 402|SWIFT J0801.9-4946    |120.478|-49.786|   13.07|ESO209-12                     |                               |120.4915|-49.7784|   20.12|   17.22|   21.91|  0.0|2.19|1.95|2.45|      2.10| 0.0400| 43.8|           |         40|Sy1.5               
 403|SWIFT J0803.4+0842    |120.889|  8.676|    9.49|SDSSJ080327.38+084152.2       |                               |120.8641|  8.6978|   19.81|   16.16|   22.21|  0.0|1.95|1.65|2.27|      1.70| 0.0460| 44.0|           |         40|Sy1.5               
 404|SWIFT J0804.2+0507    |121.039|  5.109|   28.45|Mrk1210                       |                               |121.0244|  5.1138|   57.40|   53.81|   59.76|  0.0|2.03|1.92|2.14|      3.10| 0.0130| 43.3|           |         50|Sy1.9               
 405|SWIFT J0804.6+1045    |121.154| 10.754|    4.49|UGC4211                       |                               |121.1933| 10.7767|   10.62|    6.57|   13.31|  0.0|1.63|0.78|2.58|      1.10| 0.0340| 43.4|           |         50|Sy2                 
 406|SWIFT J0805.1-0110    |121.260| -1.079|    5.57|2MASXJ08045299-0108476        |                               |121.2208| -1.1466|   15.65|   11.10|   18.65|  0.0|1.33|0.84|1.83|      0.80| 0.0910| 44.5|           |         50|Sy2                 
 407|SWIFT J0805.2+6145    |121.311| 61.751|    6.83|CGRaBSJ0805+6144              |                               |121.3257| 61.7399|   17.53|   13.74|   20.03|  0.0|1.35|0.96|1.75|      0.70| 3.0330| 48.1|           |         80|Beamed AGN          
 408|SWIFT J0807.9+3859    |121.940| 39.054|    5.74|Mrk622                        |                               |121.9210| 39.0042|   10.29|    8.29|   13.40|  0.0|2.01|1.50|2.63|      0.40| 0.0230| 43.1|           |         50|Sy2                 
 409|SWIFT J0810.9+7602    |122.748| 76.060|   11.66|PG0804+761                    |                               |122.7440| 76.0450|   16.72|   15.08|   19.24|  0.0|2.21|1.94|2.49|      2.90| 0.1000| 44.6|           |         40|Sy1                 
 410|SWIFT J0812.3-4004    |123.045|-39.948|    6.70|1RXS J081215.2-400336         |                               |123.0584|-40.0566|    9.61|    7.83|   12.40|  0.0|2.17|1.70|2.71|      1.90|       |     |           |         11|U2                  
 411|SWIFT J0814.3+0423    |123.610|  4.376|   11.16|Z31-72                        |                               |123.6055|  4.3424|   22.17|   19.94|   25.60|  0.0|2.02|1.75|2.32|      0.70| 0.0330| 43.7|           |         40|Sy1.2               
 412|SWIFT J0817.8+0251    |124.429|  2.873|    5.25|1RXSJ081749.0+025104          |                               |124.4550|  2.8499|   10.08|    7.48|   12.66|  0.0|2.06|1.51|2.74|      0.50| 0.1060| 44.4|           |         40|Sy1                 
 413|SWIFT J0818.1+0120    |124.579|  1.398|    8.28|2MASXJ08181469+0122266        |                               |124.5610|  1.3740|   22.24|   19.13|   25.33|  0.0|1.51|1.18|1.84|      0.90| 0.0890| 44.6|           |         50|Sy2                 
 414|SWIFT J0819.2-2259    |124.797|-22.913|    4.53|LEDA80921                     |                               |124.7410|-22.8770|    8.85|    6.30|   11.38|  0.0|1.85|1.08|2.83|      1.60| 0.0340| 43.3|           |         40|Sy1                 
 415|SWIFT J0820.6-2805    |125.136|-28.029|    6.36|1RXS J082033.6-280457         |                               |125.1404|-28.0825|   12.44|    9.96|   14.89|  0.0|1.87|1.40|2.40|      0.80|       |     |           |         90|CV                  
 416|SWIFT J0823.4-0457    |125.759| -4.933|   18.91|Fairall272                    |                               |125.7546| -4.9349|   39.15|   35.65|   42.08|  0.0|1.82|1.66|2.00|      0.80| 0.0210| 43.6|           |         50|Sy2                 
 417|SWIFT J0826.2-7033    |126.532|-70.555|    8.91|1RXS J082623.5-703142         |                               |126.5979|-70.5283|    9.95|    8.29|   11.36|  0.0|3.16|2.74|3.68|      1.50|       |     |           |         90|CV                  
 418|SWIFT J0830.1+4154    |127.460| 41.911|    9.06|SDSSJ082942.65+415436.6       |                               |127.4277| 41.9102|   14.91|   12.09|   17.27|  0.0|2.10|1.74|2.51|      0.50| 0.1260| 44.8|           |         40|Sy1.5               
 419|SWIFT J0830.4-6723    |127.589|-67.397|    4.58|2MASXJ08301655-6725289        |                               |127.5689|-67.4248|    7.67|    5.02|    9.89|  0.0|1.98|1.40|2.67|      1.40| 0.0340| 43.3|           |         50|Sy1.9               
 420|SWIFT J0832.5+3703    |128.101| 37.106|    8.83|RBS707                        |                               |128.1060| 37.1270|   15.30|   12.35|   17.76|  0.0|2.03|1.65|2.46|      0.50| 0.0910| 44.5|           |         40|Sy1.2               
 421|SWIFT J0835.2-4513    |128.841|-45.183|   97.77|Vela Pulsar                   |                               |128.8361|-45.1764|  175.49|  173.16|  178.06|  0.0|1.97|1.94|2.01|      1.30|       |     |           |        150|Pulsar              
 422|SWIFT J0838.0+4839    |129.613| 48.639|   22.45|EI UMa                        |                               |129.5916| 48.6338|   29.05|   27.31|   30.97|  0.0|2.62|2.45|2.80|      3.50|       |     |           |         90|CV                  
 423|SWIFT J0838.4-3557    |129.619|-35.986|   18.45|Fairall1146                   |                               |129.6283|-35.9926|   31.70|   29.42|   34.23|  0.0|2.10|1.93|2.28|      1.50| 0.0310| 43.8|           |         40|Sy1.5               
 424|SWIFT J0838.8-4832    |129.704|-48.553|    9.92|USNO-B1.0 0414-00125587       |                               |129.7046|-48.5235|   15.68|   13.57|   18.02|  0.0|2.16|1.83|2.54|      2.30|       |     |           |         90|CV                  
 425|SWIFT J0839.6-1213    |129.936|-12.250|   15.28|3C206                         |                               |129.9609|-12.2428|   29.09|   26.45|   31.56|  0.0|2.00|1.79|2.22|      1.30| 0.1970| 45.5|           |         40|Sy1                 
 426|SWIFT J0840.2+2947    |130.039| 29.799|    9.97|4C+29.30                      |                               |130.0099| 29.8174|   18.91|   16.31|   21.34|  0.0|1.88|1.58|2.21|      0.80| 0.0640| 44.2|           |         50|Sy2                 
 427|SWIFT J0841.0-4507    |130.293|-45.063|    7.11|LM Vel                        |                               |130.1991|-45.0584|    9.22|    7.38|   10.90|  0.0|2.65|2.11|3.31|      2.50|       |     |           |        180|HMXB                
 428|SWIFT J0841.4+7052    |130.349| 70.885|   38.17|[HB89]0836+710                |                               |130.3515| 70.8951|   69.81|   67.32|   72.15|  0.0|1.70|1.62|1.78|      0.30| 2.1720| 48.3|           |         80|Beamed AGN          
 429|SWIFT J0842.0+0759    |130.470|  7.997|    8.21|SDSSJ084205.57+075925.5       |                               |130.5232|  7.9904|   15.31|   12.59|   17.85|  0.0|1.98|1.56|2.47|      0.80| 0.1330| 44.8|           |         40|Sy1.5               
 430|SWIFT J0843.5+3551    |130.914| 35.852|    7.27|CASG218                       |                               |130.9375| 35.8283|   10.98|    7.74|   12.63|  0.0|2.23|1.77|2.79|      0.80| 0.0540| 43.8|           |         50|Sy2                 
 431|SWIFT J0845.0-3531    |131.348|-35.497|    7.59|1RXSJ084521.7-353048          |                               |131.3391|-35.5067|   12.68|    9.22|   14.43|  0.0|2.15|1.73|2.65|      0.10| 0.1370| 44.8|           |         40|Sy1                 
