#    |              BAT_NAME|     RA|    DEC|     SNR|              COUNTERPART_NAME|                     OTHER_NAME| CTPT_RA|CTPT_DEC|    FLUX| FLUX_LO| FLUX_HI|CONTA|GAMM|GAMM|GAMM|  CHI_SQ_R|REDSHIF|  LUM|ASSOC_STREN|        CL2|                 TYPE
#    |                      |    deg|    deg|        |                              |                               |     deg|     deg|10^-12er|10^-12er|10^-12er|     |    |    |    |          |       |log  |           |           |
  11|SWIFT J0023.2+6142    |  5.830| 61.663|    9.90|IGR J00234+6141               |                               |  5.7000| 61.6600|   14.05|   12.46|   16.14|  0.0|2.33|2.00|2.72|      0.70|       |     |           |         90|CV                  
  12|SWIFT J0025.2+6410    |  6.326| 64.142|   11.13|Tycho SNR                     |                               |  6.2840| 64.1650|   13.07|   11.86|   14.69|  0.0|3.03|2.60|3.57|      3.10|       |     |           |        160|SNR                 
  13|SWIFT J0025.8+6818    |  6.432| 68.403|    9.34|LEDA136991                    |                               |  6.3870| 68.3623|   19.57|   17.48|   22.30|  0.0|1.61|1.27|1.96|      0.60| 0.0120| 42.8|           |         50|Sy2                 
  14|SWIFT J0026.5-5308    |  6.709|-53.151|    7.04|LEDA433346                    |                               |  6.6695|-53.1633|   13.64|   11.61|   16.30|  0.0|1.65|1.18|2.17|      1.70| 0.0620| 44.1|           |         50|Sy1.9               
  15|SWIFT J0028.9+5917    |  7.162| 59.266|   47.10|V709 Cas                      |                               |  7.2036| 59.2894|   76.62|   75.00|   78.83|  0.0|2.57|2.51|2.64|     13.60|       |     |           |         90|CV                  
  16|SWIFT J0029.2+1319    |  7.288| 13.292|    8.37|PG0026+129                    |                               |  7.3067| 13.2675|   14.01|   11.93|   16.80|  0.0|2.17|1.75|2.67|      0.70| 0.1420| 44.8|           |         40|Sy1.2               
  17|SWIFT J0030.0-5904    |  7.745|-59.009|    7.37|ESO112-6                      |                               |  7.6826|-59.0072|   12.82|   10.74|   15.60|  0.0|1.79|1.41|2.20|      0.70| 0.0290| 43.3|           |         70|Unknown AGN         
  18|SWIFT J0033.6+6127    |  8.393| 61.485|   10.01|2MASXJ00331831+6127433        |                               |  8.3266| 61.4620|   15.84|   14.01|   18.31|  0.0|2.17|1.86|2.51|      1.30| 0.1050| 44.6|           |         50|Sy1.9               
  19|SWIFT J0034.5-7904    |  8.676|-79.092|    6.77|RHS3                          |                               |  8.5697|-79.0890|    8.13|    6.62|    9.24|  0.0|2.84|2.26|3.61|      0.10| 0.0740| 44.0|           |         40|Sy1                 
  20|SWIFT J0034.6-0422    |  8.632| -4.402|    8.53|2MASXJ00343284-0424117        |                               |  8.6368| -4.4033|   19.47|   16.55|   21.55|  0.0|1.69|1.36|2.03|      1.00| 0.2130| 45.4|           |         50|Sy2                 
  21|SWIFT J0036.0+5951    |  8.989| 59.841|   21.42|QSOB0033+595                  |                               |  8.9694| 59.8346|   25.96|   24.39|   27.09|  0.0|2.81|2.62|3.03|      0.80| 0.0860| 44.6|           |         80|Beamed AGN          
  22|SWIFT J0036.3+4540    |  9.097| 45.662|    9.22|Z535-12                       |                               |  9.0874| 45.6650|   16.34|   14.04|   18.00|  0.0|1.93|1.61|2.30|      1.00| 0.0470| 43.9|           |         40|Sy1.2               
  23|SWIFT J0037.2+6123    |  9.288| 61.368|   12.45|BD +60 73                     |                               |  9.2902| 61.3601|   18.42|   16.83|   20.31|  0.0|2.34|2.07|2.66|      1.70|       |     |           |        180|HMXB                
  24|SWIFT J0038.4+2337    |  9.640| 23.594|    7.54|Mrk344                        |                               |  9.6339| 23.6133|   12.89|   10.86|   15.26|  0.0|2.05|1.59|2.59|      0.50| 0.0240| 43.2|           |         50|Sy2                 
  25|SWIFT J0041.0+2444    | 10.221| 24.756|    4.54|SWIFT J004039.9+244539        |                               | 10.1658| 24.7608|    6.86|    4.89|    9.09|  0.0|2.19|1.49|3.17|      0.60|       |     |           |         11|U2                  
  26|SWIFT J0041.9-0921    | 10.447| -9.349|    6.47|ABELL 85                      |                               | 10.4075| -9.3425|    7.22|    6.27|    8.29|  0.0|4.60|3.72|5.89|      0.70|       |     |           |         30|Galaxy Cluster      
  27|SWIFT J0042.6+4112    | 10.649| 41.216|   10.16|SWIFT J0042.7+4111            |                               | 10.6679| 41.2002|   12.98|   11.56|   14.63|  0.0|2.80|2.41|3.28|      1.20|       |     |           |         15|multiple            
  28|SWIFT J0042.9-2332    | 10.714|-23.534|   25.51|NGC235A                       |                               | 10.7200|-23.5410|   52.14|   49.59|   55.52|  0.0|1.78|1.67|1.90|      1.60| 0.0220| 43.7|           |         50|Sy1.9               
  29|SWIFT J0042.9+3016A   | 10.839| 30.331|    8.15|2MASXJ00430184+3017195        |                               | 10.7578| 30.2888|    7.10|    2.50|   13.47|  0.0|2.72|1.37|5.95|      0.80| 0.0520| 43.6|           |         50|Sy2                 
  30|SWIFT J0042.9+3016B   | 10.704| 30.281|   11.40|2MASXJ00423991+3017515        |                               | 10.6663| 30.2976|   26.08|   16.57|   38.75|  0.0|0.50|0.00|1.86|      0.50| 0.1400| 45.1|           |         40|Sy1                 
  31|SWIFT J0042.9-1135    | 10.771|-11.647|    4.71|MCG-2-2-95                    |                               | 10.7865|-11.6010|    8.12|    5.85|   11.21|  0.0|2.13|1.34|3.37|      1.00| 0.0180| 42.8|           |         50|Sy2                 
  32|SWIFT J0046.2-4008    | 11.533|-40.090|    7.52|ESP39607                      |                               | 11.5860|-40.0970|   11.11|    8.52|   13.40|  0.0|2.12|1.70|2.61|      1.20| 0.2010| 45.1|           |         50|Sy2                 
  33|SWIFT J0048.8+3155    | 12.198| 31.956|   79.47|Mrk348                        |                               | 12.1964| 31.9570|  144.81|  141.91|  147.47|  0.0|1.90|1.86|1.94|      6.40| 0.0150| 43.8|           |         80|Beamed AGN          
  34|SWIFT J0051.6+2928    | 12.902| 29.482|    6.52|UGC524                        |                               | 12.8959| 29.4013|   10.22|    7.36|   12.76|  0.0|2.07|1.49|2.81|      0.90| 0.0360| 43.4|           |         40|Sy1                 
