#|name              |ra        |dec      |flux_1_100_gev|flux_1_100_gev_error|detection_significance|spectrum_type   |alt_gammaray_name_1|assoc_name                  |analysis_flags|
|4FGL J1209.4+4118 |12 09 25.9|+41 18 40|    6.2569e-10|          4.1975e-11|               28.2907|LogParabola     |3FGL J1209.4+4119  |B3 1206+416                 |           000|
|4FGL J0312.9+4119 |03 12 58.5|+41 19 44|    1.7430e-10|          3.9867e-11|                4.6036|PowerLaw        |                   |B3 0309+411B                |           000|
|4FGL J2241.2+4120 |22 41 14.1|+41 20 23|    5.3608e-10|          5.2799e-11|               14.2037|PowerLaw        |3FGL J2240.9+4121  |B3 2238+410                 |           000|
|4FGL J0941.7+4125 |09 41 48.0|+41 25 18|    2.1167e-10|          3.0550e-11|                9.2874|LogParabola     |                   |GB6 J0941+4121              |           000|
|4FGL J0612.8+4122 |06 12 53.2|+41 22 18|    4.6896e-09|          1.1088e-10|               83.4486|LogParabola     |3FGL J0612.8+4122  |B3 0609+413                 |           000|
|4FGL J2023.4+4127 |20 23 29.1|+41 27 03|    1.1893e-09|          1.5502e-10|               10.1098|PowerLaw        |3FGL J2023.5+4126  |SSTSL2 J202336.19+412527.0  |           002|
|4FGL J0923.5+4125 |09 23 34.8|+41 25 42|    8.3842e-10|          4.7466e-11|               32.4368|LogParabola     |3FGL J0923.3+4127  |B3 0920+416                 |           000|
|4FGL J0912.2+4127 |09 12 13.4|+41 27 23|    5.4624e-10|          3.7961e-11|               24.7082|PowerLaw        |3FGL J0912.2+4126  |B3 0908+416B                |           000|
|4FGL J2032.2+4127 |20 32 15.1|+41 27 32|    2.3282e-08|          3.9186e-10|              104.8012|PLSuperExpCutoff|3FGL J2032.2+4126  |PSR J2032+4127              |           000|
|4FGL J1639.2+4129 |16 39 17.7|+41 29 47|    3.9304e-10|          3.6070e-11|               17.5432|LogParabola     |3FGL J1639.8+4125  |MG4 J163918+4127            |           000|
|4FGL J0319.8+4130 |03 19 49.8|+41 30 44|    3.3759e-08|          2.8161e-10|              245.4858|LogParabola     |3FGL J0319.8+4130  |NGC 1275                    |           000|
